127.0.0.1 - - [06/Dec/2023:09:16:18 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:18 +0900] "GET /controller/ HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/js/movie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/mvImage/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/mvImage/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/mvImage/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/mvImage/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/mvImage/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:19 +0900] "GET /controller/resources/image/star2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:16:22 +0900] "GET /controller/member/loginForm.do HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:17:57 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:20:50 +0900] "GET /controller/ HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:20:50 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:20:52 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/image/login.png HTTP/1.1" 200 10137
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/js/member.js HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/image/logo.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/image/callcenter.png HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/image/myinfo.png HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/image/register.png HTTP/1.1" 200 32237
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:00 +0900] "GET /controller/resources/image/search.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:21:10 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:23:33 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:23:33 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7644
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:33 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:33 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7897
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:33 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:33 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:38 +0900] "GET /controller/member/loginForm.do HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:38 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:42 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:42 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:24:46 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:25:28 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:25:28 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:26 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:26 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7954
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:27 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:27 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7954
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/image/logo.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/image/login.png HTTP/1.1" 200 10137
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/js/member.js HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/image/register.png HTTP/1.1" 200 32237
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/image/myinfo.png HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/image/search.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:26:32 +0900] "GET /controller/resources/image/callcenter.png HTTP/1.1" 200 2460
